playlist_name,track_name,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,url,cover
Your Top Songs 2019,Suitcase,Jacob Lee,200789,0,0,4,0.0258,0.484,0.786,0.0,0.25,-5.104,0.0428,0.245,158.19,https://open.spotify.com/track/3pqUy7zkHy4dPp3GiqUZAz,https://i.scdn.co/image/ab67616d0000b2736bc083cb0bfb1dec5ef4d0ce
Your Top Songs 2019,Know,NF,238667,5,0,4,0.233,0.693,0.717,1.13e-06,0.26,-6.289,0.283,0.253,130.074,https://open.spotify.com/track/3MFyER5LVCQNaUtipifGD7,https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f
Your Top Songs 2019,Not Alone,Red,248173,3,1,4,0.00245,0.353,0.762,6.4e-06,0.0907,-5.422,0.0386,0.169,148.008,https://open.spotify.com/track/04QKeqtQ1KCDHTXK6mNwqX,https://i.scdn.co/image/ab67616d0000b27369369a37140c4061d4e7a2ab
Your Top Songs 2019,Rina Rina,"SkennyBeatz, Ymerli Krasniqi",274304,4,0,4,0.0563,0.792,0.758,3.96e-05,0.251,-3.995,0.0753,0.324,129.031,https://open.spotify.com/track/67izRrz4IcerPMsbVBXntC,https://i.scdn.co/image/ab67616d0000b2737e78d3390a819cb1454d0b85
Your Top Songs 2019,Think About Us,Little Mix,235147,8,1,4,0.0709,0.477,0.791,0.0,0.112,-3.331,0.12,0.603,175.869,https://open.spotify.com/track/5ecQ5IpXRvNgnsAuw40dOq,https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0
Your Top Songs 2019,Whenever (feat. Conor Maynard),"Kris Kross Amsterdam, The Boy Next Door, Conor Maynard",163636,7,1,4,0.151,0.734,0.765,0.0,0.231,-5.562,0.0621,0.518,109.989,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,https://i.scdn.co/image/ab67616d0000b273fc627bc94f61cec8636ab084
Your Top Songs 2019,Everyday,"Logic, Marshmello",204747,1,1,4,0.0425,0.667,0.741,0.0,0.0761,-4.099,0.0378,0.422,149.908,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk,https://i.scdn.co/image/ab67616d0000b273e19b1b51cdd35051e17cf6dc
Your Top Songs 2019,Denisa - Hip Hop Remix,"SkennyBeatz, Ernim Ibrahimi",231446,1,1,4,0.18,0.795,0.866,0.0102,0.167,-3.599,0.0798,0.793,104.951,https://open.spotify.com/track/4wuRKjlDmTmfDzWtESToIY,https://i.scdn.co/image/ab67616d0000b2737366112f5541b44bf52f2af6
Your Top Songs 2019,Sugar & Brownies,DHARIA,197837,1,0,4,0.168,0.792,0.719,0.0,0.0276,-5.123,0.257,0.472,100.02,https://open.spotify.com/track/4CAEINtapxGNYyjjJ1AKOA,https://i.scdn.co/image/ab67616d0000b27388104647763f4c2c554f2301
Your Top Songs 2019,Ricochet,STARSET,310347,5,0,4,0.0016,0.256,0.84,0.0,0.0968,-6.916,0.0606,0.178,112.977,https://open.spotify.com/track/1ocR8gUE4fBfNJZtBr0TFQ,https://i.scdn.co/image/ab67616d0000b273a51a854b037ead2c9b7e25d3
Your Top Songs 2019,Aaqa - Coke Studio Season 9,"Abida Parveen, Ali Sethi",507000,0,1,1,0.545,0.634,0.52,0.0,0.0936,-6.171,0.0294,0.47,128.939,https://open.spotify.com/track/7ullpqaNSeTxBObPH8djXd,https://i.scdn.co/image/ab67616d0000b273ff48a5b8bbb7d72431623fa2
Your Top Songs 2019,Party Time,SkennyBeatz,275161,9,1,4,0.0241,0.77,0.847,0.0975,0.0819,-4.017,0.0684,0.566,106.989,https://open.spotify.com/track/6jwoxJzCmqXA1sjaqHX2zW,https://i.scdn.co/image/ab67616d0000b2733887385c869b757b9685cde6
Your Top Songs 2019,HUMBLE. - SKRILLEX REMIX,"Skrillex, Kendrick Lamar",156800,11,1,4,0.00794,0.901,0.934,7.68e-05,0.194,-2.345,0.273,0.868,150.037,https://open.spotify.com/track/65ES1qwOB577ZnTkizMXJJ,https://i.scdn.co/image/ab67616d0000b273bd01ceabd584855b2edd838d
Your Top Songs 2019,My Demons,STARSET,288036,5,0,4,0.00768,0.274,0.652,6.42e-05,0.108,-6.196,0.0625,0.1,173.009,https://open.spotify.com/track/4HOLHB86ctpgSwWasOLD2z,https://i.scdn.co/image/ab67616d0000b27369cb1ae5c2119075da15ac03
Your Top Songs 2019,New World,"Krewella, Yellow Claw, Taylor Bennett",161963,6,0,4,0.0314,0.681,0.768,0.0,0.0839,-4.356,0.0774,0.718,162.976,https://open.spotify.com/track/2gBQ35qqBE75t00kV221Xy,https://i.scdn.co/image/ab67616d0000b2733b8b08310300d5e0650aac76
Your Top Songs 2019,Ohh Baby - Balkan Remix,"SkennyBeatz, DJ Viper, Young Zerka, Nyanda",237433,8,1,4,0.0442,0.701,0.866,0.0,0.537,-4.14,0.229,0.732,98.961,https://open.spotify.com/track/2eAChqS8ZFAzG8p95LA8pU,https://i.scdn.co/image/ab67616d0000b273c14869a2faeb2fe0fc493e78
Your Top Songs 2019,Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",212733,0,0,4,0.239,0.715,0.605,1.41e-05,0.189,-5.128,0.0428,0.454,122.956,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d
Your Top Songs 2019,BOOM,"Tiësto, Sevenn, Gucci Mane",179512,2,1,4,0.0164,0.886,0.84,0.00622,0.329,-3.386,0.0502,0.203,123.035,https://open.spotify.com/track/6iC7vapdKp0XlKhxOkp8QJ,https://i.scdn.co/image/ab67616d0000b2739d37d1aba5ae9b00ade41865
Your Top Songs 2019,Adrenaline,Nine Lashes,202227,9,0,4,0.00108,0.38,0.976,0.0,0.357,-2.394,0.153,0.524,191.988,https://open.spotify.com/track/6buK7mWHfw5IFdJsM1ARVM,https://i.scdn.co/image/ab67616d0000b273a6d7d1c3f71063f9a873ebdd
Your Top Songs 2019,Kalle Valle,SkennyBeatz,266589,2,0,4,0.00402,0.802,0.791,0.154,0.0643,-4.081,0.0847,0.718,121.022,https://open.spotify.com/track/6gUhgXR0j1ckbVUBAnrXdv,https://i.scdn.co/image/ab67616d0000b273c15657967f4da39dd4ec310f
